grid_id,centroid_lon,centroid_lat,poi_count,poi_diversity,poi_餐饮,poi_购物,poi_交通,poi_教育,poi_医疗,poi_办公,ndvi_mean,road_density,zone_type
G_001_001,113.310,23.120,15,1.8,3,5,1,2,1,3,0.25,0.012,商业区
G_001_002,113.315,23.122,8,1.2,2,2,1,1,1,1,0.35,0.008,居住区
G_001_003,113.320,23.125,25,2.1,5,8,2,3,2,5,0.18,0.018,商业区
G_001_004,113.325,23.128,12,1.5,3,3,1,2,1,2,0.30,0.010,混合功能区
G_001_005,113.330,23.130,30,2.3,6,10,3,4,2,5,0.15,0.020,商业区
G_001_006,113.335,23.132,18,1.9,4,6,2,2,1,3,0.22,0.015,办公区
G_002_001,113.310,23.115,5,0.8,1,1,1,1,1,0,0.65,0.005,文教区
G_002_002,113.315,23.118,10,1.3,2,3,1,2,1,1,0.40,0.009,居住区
G_002_003,113.320,23.120,22,2.0,4,7,2,3,2,4,0.20,0.016,商业区
G_002_004,113.325,23.122,14,1.6,3,4,2,2,1,2,0.28,0.011,混合功能区
G_002_005,113.330,23.125,28,2.2,5,9,3,4,2,5,0.17,0.019,商业区
G_002_006,113.335,23.128,16,1.7,3,5,2,2,1,3,0.25,0.013,办公区
G_003_001,113.310,23.110,3,0.6,1,0,1,1,0,0,0.70,0.004,绿地/公园
G_003_002,113.315,23.112,7,1.1,2,1,1,1,1,1,0.45,0.007,居住区
G_003_003,113.320,23.115,20,1.8,4,6,2,3,2,3,0.25,0.014,商业区
G_003_004,113.325,23.118,13,1.4,3,3,2,2,1,2,0.32,0.010,混合功能区
G_003_005,113.330,23.120,26,2.1,5,8,3,4,2,4,0.20,0.017,商业区
G_003_006,113.335,23.122,17,1.8,3,6,2,2,1,3,0.23,0.014,办公区